=== FRESH25 STAGE1-2B START Thu Aug 20 02:12:49 BST 2026 ===
Loading GLiNER-BioMed model... (this may take a moment on the first run)
Fetching 12 files:   0%|          | 0/12 [00:00<?, ?it/s]Fetching 12 files: 100%|██████████| 12/12 [00:00<00:00, 2615.04it/s]
Loading GLiNER-relex model... (this may take a moment on the first run)
Fetching 10 files:   0%|          | 0/10 [00:00<?, ?it/s]Fetching 10 files: 100%|██████████| 10/10 [00:00<00:00, 2682.12it/s]
Asking to truncate to max_length but no maximum length is provided and the model has no predefined maximum length. Default to no truncation.
Asking to truncate to max_length but no maximum length is provided and the model has no predefined maximum length. Default to no truncation.
Loading SapBERT model for vector normalization... (this may take a moment)
================================================================================
🚀 RUNNING END-TO-END PIPELINE (STAGE 1 -> STAGE 2a -> STAGE 2b) ON 25 NAMED NOTE(S)
================================================================================
Reading from /home/ec2-user/clinical_neuro_symbolic_pipeline_reorder/data/raw_notes/gold_notes.csv

[1/25] Running Stage 1 -> Stage 2a -> Stage 2b via src.clinical_pipeline.run_pipeline() on 11532659-DS-11...
ℹ️ 17/26 relations in 11532659-DS-11 had at least one unlinked endpoint.
... 478 entities accepted, 478 normalized, 478 routed LOW, 54 non-asserted, 0 retained below threshold, 11 recovered via original-form fallback.
DOCTOR WROTE         | LABEL        | OMOP MAPPING                 | TIER           | ASSERTION  | IN
no  vomiting         | Symptom      | No vomiting                  | 1 (Exact)      | ABSENT     | LOW
volume overload      | Condition    | Cardiac volume overload      | 3 (Semantic)   | PRESENT    | LOW
Atrial fibrillatio   | Condition    | Atrial fibrillation          | 1 (Exact)      | PRESENT    | LOW
Hypertension         | Condition    | Hypertensive disorder        | 2 (Synonym)    | PRESENT    | LOW
Hyperlipidemia       | Condition    | Hyperlipidemia               | 1 (Exact)      | PRESENT    | LOW
Diabetes             | Condition    | Diabetes mellitus            | 3 (Semantic)   | PRESENT    | LOW
Hyperthyroidism      | Condition    | Hyperthyroidism              | 1 (Exact)      | PRESENT    | LOW
Asthma               | Condition    | Asthma                       | 1 (Exact)      | PRESENT    | LOW
CHF                  | Condition    | Congestive heart failure     | 1 (Exact)      | PRESENT    | LOW
GERD                 | Condition    | Gastroesophageal reflux di   | 1 (Exact)      | PRESENT    | LOW
coronary artery di   | Condition    | Coronary arteriosclerosis    | 2 (Synonym)    | PRESENT    | LOW
family history of    | Symptom      | FH: Hypertension             | 2 (Synonym)    | PRESENT    | LOW
S1                   | Anatomy      | Structure of first sacral    | 2 (Synonym)    | PRESENT    | LOW
S2                   | Anatomy      | Structure of second sacral   | 2 (Synonym)    | PRESENT    | LOW
S3                   | Anatomy      | Structure of third sacral    | 2 (Synonym)    | PRESENT    | LOW
RUQ                  | Anatomy      | Structure of right upper q   | 3 (Semantic)   | ABSENT     | LOW
TTP                  | Lab Test     | Unmapped                     | 0 (Failed)     | ABSENT     | LOW
pitting edema        | Condition    | Pitting edema                | 1 (Exact)      | ABSENT     | LOW
CNII-XII             | Anatomy      | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
S1                   | Anatomy      | Structure of first sacral    | 2 (Synonym)    | PRESENT    | LOW
S2                   | Anatomy      | Structure of second sacral   | 2 (Synonym)    | PRESENT    | LOW
edema                | Condition    | Edema                        | 1 (Exact)      | PRESENT    | LOW
WBC-7                | Lab Test     | White blood cell count       | 3 (Semantic)   | PRESENT    | LOW
RBC-3                | Lab Test     | Red blood cell count         | 3 (Semantic)   | PRESENT    | LOW
Hgb-9.6              | Lab Test     | Measurement of total hemog   | 3 (Semantic)   | PRESENT    | LOW
Hct-31               | Lab Test     | Hematocrit determination     | 3 (Semantic)   | PRESENT    | LOW
MCV-92               | Lab Test     | Erythrocyte mean corpuscul   | 3 (Semantic)   | PRESENT    | LOW
MCH-28               | Lab Test     | Mean corpuscular hemoglobi   | 3 (Semantic)   | PRESENT    | LOW
MCHC-31              | Lab Test     | Mean corpuscular hemoglobi   | 3 (Semantic)   | PRESENT    | LOW
RDW-16.6             | Lab Test     | Red cell distribution widt   | 3 (Semantic)   | PRESENT    | LOW
RDWSD-56             | Lab Test     | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
Plt                  | Lab Test     | Platelet count               | 3 (Semantic)   | PRESENT    | LOW
Neuts-70             | Lab Test     | Neutrophil count             | 3 (Semantic)   | PRESENT    | LOW
Lymphs-18.0          | Lab Test     | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
PTT-34               | Lab Test     | Prothrombin time             | 3 (Semantic)   | PRESENT    | LOW
Glucose-146          | Lab Test     | Glucose measurement          | 3 (Semantic)   | PRESENT    | LOW
UreaN-28             | Lab Test     | Urea measurement             | 3 (Semantic)   | PRESENT    | LOW
Creat-1.6            | Lab Test     | Creatinine measurement       | 3 (Semantic)   | PRESENT    | LOW
Na-140  K-5          | Lab Test     | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
HCO3-23              | Lab Test     | Bicarbonate measurement      | 3 (Semantic)   | PRESENT    | LOW
AnGap-20             | Lab Test     | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
ALT-12               | Lab Test     | Alanine transaminase activ   | 3 (Semantic)   | PRESENT    | LOW
AST-35               | Lab Test     | Aspartate aminotransferase   | 3 (Semantic)   | PRESENT    | LOW
AlkPhos-64           | Lab Test     | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
TotBili-0            | Lab Test     | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
Lipase-96            | Lab Test     | Measurement of lipase acti   | 3 (Semantic)   | PRESENT    | LOW
cTropnT              | Lab Test     | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
proBNP-2323          | Lab Test     | Brain natriuretic peptide    | 3 (Semantic)   | PRESENT    | LOW
cTropnT              | Lab Test     | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
Calcium-9            | Lab Test     | Calcium measurement          | 3 (Semantic)   | PRESENT    | LOW
Albumin-4            | Lab Test     | Albumin measurement          | 3 (Semantic)   | PRESENT    | LOW
Hapto                | Lab Test     | Haptoglobin phenotype dete   | 3 (Semantic)   | PRESENT    | LOW
Lactate-3.7          | Lab Test     | D-lactate measurement        | 3 (Semantic)   | PRESENT    | LOW
Lactate-2            | Lab Test     | D-lactate measurement        | 3 (Semantic)   | PRESENT    | LOW
Urine culture        | Lab Test     | Urine culture                | 1 (Exact)      | PRESENT    | LOW
GRAM STAIN           | Lab Test     | Gram stain microscopy        | 3 (Semantic)   | PRESENT    | LOW
C. difficile DNA a   | Lab Test     | Clostridium difficile dete   | 3 (Semantic)   | PRESENT    | LOW
GRAM STAIN           | Lab Test     | Gram stain microscopy        | 3 (Semantic)   | PRESENT    | LOW
ANAEROBIC CULTURE    | Lab Test     | Anaerobic microbial cultur   | 1 (Exact, lab-procedure-sibling) | PRESENT    | LOW
pleural effusions    | Condition    | Pleural effusion             | 3 (Semantic)   | PRESENT    | LOW
pulmonary edema      | Condition    | Pulmonary edema              | 1 (Exact)      | PRESENT    | LOW
cardiomegaly         | Condition    | Cardiomegaly                 | 1 (Exact)      | PRESENT    | LOW
CHF                  | Condition    | Congestive heart failure     | 1 (Exact)      | PRESENT    | LOW
RUQ                  | Anatomy      | Structure of right upper q   | 3 (Semantic)   | PRESENT    | LOW
gallbladder          | Anatomy      | Gallbladder structure        | 2 (Synonym)    | PRESENT    | LOW
gallbladder          | Anatomy      | Gallbladder structure        | 2 (Synonym)    | PRESENT    | LOW
gallbladder          | Anatomy      | Gallbladder structure        | 2 (Synonym)    | PRESENT    | LOW
Gallbladder          | Anatomy      | Gallbladder structure        | 2 (Synonym)    | PRESENT    | LOW
hepatitis            | Condition    | Inflammatory disease of li   | 2 (Synonym)    | POSSIBLE   | LOW
heart failure        | Condition    | Heart failure                | 1 (Exact)      | POSSIBLE   | LOW
cholelithiasis       | Condition    | Biliary calculus             | 2 (Synonym)    | PRESENT    | LOW
gallbladder          | Anatomy      | Gallbladder structure        | 2 (Synonym)    | PRESENT    | LOW
cholecystitis        | Condition    | Cholecystitis                | 1 (Exact)      | ABSENT     | LOW
gallbladder          | Anatomy      | Gallbladder structure        | 2 (Synonym)    | PRESENT    | LOW
gallbladder          | Anatomy      | Gallbladder structure        | 2 (Synonym)    | PRESENT    | LOW
TTE                  | Symptom      | Transthoracic approach       | 2 (Synonym)    | PRESENT    | LOW
TTE                  | Procedure    | Echocardiography             | 2 (Synonym)    | PRESENT    | LOW
Endotracheal intub   | Procedure    | Insertion of endotracheal    | 2 (Synonym)    | PRESENT    | LOW
propofol             | Medication   | propofol                     | 1 (Exact)      | PRESENT    | LOW
left atrium          | Anatomy      | Left atrial structure        | 2 (Synonym)    | ABSENT     | LOW
left atrial append   | Anatomy      | Structure of left auricula   | 3 (Semantic)   | ABSENT     | LOW
right  atrium        | Anatomy      | Right atrial structure       | 2 (Synonym)    | ABSENT     | LOW
right atrial appen   | Anatomy      | Structure of right auricul   | 3 (Semantic)   | ABSENT     | LOW
left atrial append   | Anatomy      | Structure of left auricula   | 3 (Semantic)   | PRESENT    | LOW
right atrium         | Anatomy      | Right atrial structure       | 2 (Synonym)    | ABSENT     | LOW
right atrial appen   | Anatomy      | Structure of right auricul   | 3 (Semantic)   | ABSENT     | LOW
right  atrial appe   | Anatomy      | Structure of right auricul   | 3 (Semantic)   | PRESENT    | LOW
atrial septal defe   | Condition    | Atrial septal defect         | 1 (Exact)      | ABSENT     | LOW
atheroma             | Condition    | Atheroma                     | 1 (Exact)      | PRESENT    | LOW
ascending aorta      | Anatomy      | Ascending aorta structure    | 2 (Synonym)    | PRESENT    | LOW
aortic arch          | Anatomy      | Aortic arch structure        | 2 (Synonym)    | PRESENT    | LOW
descending thoraci   | Anatomy      | Structure of descending th   | 2 (Synonym)    | PRESENT    | LOW
aortic valve leafl   | Anatomy      | Structure of cardiac valve   | 3 (Semantic)   | PRESENT    | LOW
aortic  leaflets     | Anatomy      | Structure of cardiac valve   | 3 (Semantic)   | PRESENT    | LOW
Lambl's excresence   | Condition    | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
aortic regurgitati   | Condition    | Aortic valve regurgitation   | 2 (Synonym)    | PRESENT    | LOW
mitral prosthesis    | Anatomy      | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
mitral prosthesis    | Anatomy      | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
mild                 | Procedure    | Minimally invasive decompr   | 2 (Synonym)    | PRESENT    | LOW
mitral regurgitati   | Condition    | Mitral valve regurgitation   | 2 (Synonym)    | PRESENT    | LOW
pulmonary artery     | Anatomy      | Pulmonary artery structure   | 2 (Synonym)    | PRESENT    | LOW
systolic hypertens   | Condition    | Systolic hypertension        | 1 (Exact)      | PRESENT    | LOW
systolic hypertens   | Condition    | Systolic hypertension        | 1 (Exact)      | PRESENT    | LOW
pericardial effusi   | Condition    | Pericardial effusion         | 1 (Exact)      | ABSENT     | LOW
mitral mechanical    | Anatomy      | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
mild                 | Procedure    | Minimally invasive decompr   | 2 (Synonym)    | PRESENT    | LOW
mitral  regurgitat   | Condition    | Mitral valve regurgitation   | 2 (Synonym)    | PRESENT    | LOW
tricuspid regurgit   | Condition    | Tricuspid valve regurgitat   | 2 (Synonym)    | PRESENT    | LOW
pulmonary artery     | Anatomy      | Pulmonary artery structure   | 2 (Synonym)    | PRESENT    | LOW
systolic hypertens   | Condition    | Systolic hypertension        | 1 (Exact)      | PRESENT    | LOW
systolic hypertens   | Condition    | Systolic hypertension        | 1 (Exact)      | PRESENT    | LOW
pulmonary edema      | Condition    | Pulmonary edema              | 1 (Exact)      | PRESENT    | LOW
right upper lobe     | Anatomy      | Structure of upper lobe of   | 3 (Semantic)   | PRESENT    | LOW
mitral  regurgitat   | Condition    | Mitral valve regurgitation   | 2 (Synonym)    | CONDITIONAL | LOW
right upper  lobe    | Condition    | Right upper zone pneumonia   | 2 (Synonym)    | CONDITIONAL | LOW
antibiotics          | Medication   | Unmapped                     | 0 (Failed)     | ABSENT     | LOW
PA and LAT           | Lab Test     | Unmapped                     | 0 (Failed)     | ABSENT     | LOW
liver                | Anatomy      | Liver structure              | 2 (Synonym)    | PRESENT    | LOW
gallbladder          | Anatomy      | Gallbladder structure        | 2 (Synonym)    | PRESENT    | LOW
duodenum             | Anatomy      | Duodenal structure           | 2 (Synonym)    | PRESENT    | LOW
subcapsular branch   | Anatomy      | Unmapped                     | 0 (Failed)     | POSSIBLE   | LOW
right                | Qualifier    | Right                        | 1 (Exact)      | POSSIBLE   | LOW
hepatic artery       | Anatomy      | Hepatic artery               | 1 (Exact)      | POSSIBLE   | LOW
percutaneous chole   | Procedure    | Percutaneous cholecystosto   | 1 (Exact)      | POSSIBLE   | LOW
tube                 | Procedure    | Tube                         | 1 (Exact)      | POSSIBLE   | LOW
Percutaneous chole   | Procedure    | Percutaneous cholecystosto   | 1 (Exact)      | PRESENT    | LOW
tube                 | Procedure    | Tube                         | 1 (Exact)      | PRESENT    | LOW
gallbladder          | Anatomy      | Gallbladder structure        | 2 (Synonym)    | PRESENT    | LOW
gallbladder          | Anatomy      | Gallbladder structure        | 2 (Synonym)    | PRESENT    | LOW
duodenum             | Anatomy      | Duodenal structure           | 2 (Synonym)    | PRESENT    | LOW
subcapsular branch   | Anatomy      | Unmapped                     | 0 (Failed)     | POSSIBLE   | LOW
right                | Qualifier    | Right                        | 1 (Exact)      | POSSIBLE   | LOW
hepatic artery       | Anatomy      | Hepatic artery               | 1 (Exact)      | POSSIBLE   | LOW
percutaneous chole   | Procedure    | Percutaneous cholecystosto   | 1 (Exact)      | POSSIBLE   | LOW
tube                 | Procedure    | Tube                         | 1 (Exact)      | POSSIBLE   | LOW
Percutaneous chole   | Procedure    | Percutaneous cholecystosto   | 1 (Exact)      | PRESENT    | LOW
tube                 | Procedure    | Tube                         | 1 (Exact)      | PRESENT    | LOW
gallbladder          | Anatomy      | Gallbladder structure        | 2 (Synonym)    | PRESENT    | LOW
coil and Gel-Foam    | Procedure    | Embolization using fluoros   | 3 (Semantic)   | PRESENT    | LOW
segment 4B  hepati   | Anatomy      | Structure of posterior seg   | 3 (Semantic)   | PRESENT    | LOW
hepatic pseudoaneu   | Condition    | False aneurysm of hepatic    | 3 (Semantic)   | PRESENT    | LOW
percutaneous chole   | Procedure    | Percutaneous cholecystosto   | 1 (Exact)      | PRESENT    | LOW
tube                 | Procedure    | Tube                         | 1 (Exact)      | PRESENT    | LOW
pneumonia            | Condition    | Pneumonia                    | 1 (Exact)      | PRESENT    | LOW
gallbladder          | Anatomy      | Gallbladder structure        | 2 (Synonym)    | PRESENT    | LOW
gallbladder          | Anatomy      | Gallbladder structure        | 2 (Synonym)    | PRESENT    | LOW
bile ducts           | Anatomy      | Bile duct structure          | 3 (Semantic)   | ABSENT     | LOW
gallbladder          | Anatomy      | Gallbladder structure        | 2 (Synonym)    | ABSENT     | LOW
percutaneous  chol   | Procedure    | Percutaneous cholecystosto   | 1 (Exact)      | PRESENT    | LOW
tube                 | Procedure    | Tube                         | 1 (Exact)      | PRESENT    | LOW
Gel-Foam embolizat   | Procedure    | Fogarty embolectomy of art   | 3 (Semantic)   | PRESENT    | LOW
thrombin injection   | Medication   | Thrombin Injection           | 1 (Exact)      | PRESENT    | LOW
Doppler interrogat   | Procedure    | Doppler ultrasonography      | 3 (Semantic)   | ABSENT     | LOW
WBC-15               | Lab Test     | CD15 count                   | 3 (Semantic)   | PRESENT    | LOW
RBC-2                | Lab Test     | Red blood cell count         | 3 (Semantic)   | PRESENT    | LOW
Hgb-7                | Lab Test     | Measurement of total hemog   | 3 (Semantic)   | PRESENT    | LOW
Hct-23               | Lab Test     | Hematocrit determination     | 3 (Semantic)   | PRESENT    | LOW
MCV-97               | Lab Test     | Erythrocyte mean corpuscul   | 3 (Semantic)   | PRESENT    | LOW
MCH-30               | Lab Test     | Mean corpuscular hemoglobi   | 3 (Semantic)   | PRESENT    | LOW
MCHC-31              | Lab Test     | Mean corpuscular hemoglobi   | 3 (Semantic)   | PRESENT    | LOW
RDW-19               | Lab Test     | Red cell distribution widt   | 3 (Semantic)   | PRESENT    | LOW
RDWSD-59             | Lab Test     | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
Plt                  | Lab Test     | Platelet count               | 3 (Semantic)   | PRESENT    | LOW
PTT-123              | Lab Test     | Prothrombin time             | 3 (Semantic)   | PRESENT    | LOW
Plt                  | Lab Test     | Platelet count               | 3 (Semantic)   | PRESENT    | LOW
PTT-55               | Lab Test     | Prothrombin time             | 3 (Semantic)   | PRESENT    | LOW
Glucose-107          | Lab Test     | Glucose measurement          | 3 (Semantic)   | PRESENT    | LOW
UreaN-21             | Lab Test     | Urea measurement             | 3 (Semantic)   | PRESENT    | LOW
Creat-1              | Lab Test     | Creatinine measurement       | 3 (Semantic)   | PRESENT    | LOW
Na-135  K-4          | Lab Test     | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
Cl-105 HCO3-22       | Lab Test     | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
AnGap-12             | Lab Test     | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
Calcium-8.3          | Lab Test     | Calcium measurement          | 3 (Semantic)   | PRESENT    | LOW
Phos-3.0 Mg-2        | Lab Test     | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
heart failure        | Condition    | Heart failure                | 1 (Exact)      | PRESENT    | LOW
hypertension         | Condition    | Hypertensive disorder        | 2 (Synonym)    | PRESENT    | LOW
hyperlipidemia       | Condition    | Hyperlipidemia               | 1 (Exact)      | PRESENT    | LOW
diabetes             | Condition    | Diabetes mellitus            | 3 (Semantic)   | PRESENT    | LOW
dyspnea              | Symptom      | Dyspnea                      | 1 (Exact)      | PRESENT    | LOW
abdominal pain       | Symptom      | Abdominal pain               | 1 (Exact)      | PRESENT    | LOW
cholecystitis        | Condition    | Cholecystitis                | 1 (Exact)      | PRESENT    | LOW
cholecystitis        | Condition    | Cholecystitis                | 1 (Exact)      | PRESENT    | LOW
gallbladder          | Anatomy      | Gallbladder structure        | 2 (Synonym)    | PRESENT    | LOW
gallbladder          | Anatomy      | Gallbladder structure        | 2 (Synonym)    | PRESENT    | LOW
percutaneous chlec   | Procedure    | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
coumadin             | Medication   | coumaran                     | 3 (Semantic)   | PRESENT    | LOW
unasyn               | Medication   | sulbactam                    | 3 (Semantic)   | PRESENT    | LOW
Zosyn                | Medication   | Zodasiran                    | 3 (Semantic)   | PRESENT    | LOW
fevers               | Symptom      | Fever                        | 3 (Semantic)   | PRESENT    | LOW
Zosyn                | Medication   | Zodasiran                    | 3 (Semantic)   | PRESENT    | LOW
Unasyn               | Medication   | sulbactam                    | 3 (Semantic)   | PRESENT    | LOW
Unasyn               | Medication   | sulbactam                    | 3 (Semantic)   | PRESENT    | LOW
augmentin            | Medication   | clavulanate                  | 3 (Semantic)   | PRESENT    | LOW
CCY                  | Procedure    | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
gallbladder          | Anatomy      | Gallbladder structure        | 2 (Synonym)    | PRESENT    | LOW
CCY                  | Procedure    | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
CCY                  | Procedure    | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
Hypoxemic Respirat   | Condition    | Hypoxemic respiratory fail   | 1 (Exact)      | PRESENT    | LOW
pulmonary edema      | Condition    | Pulmonary edema              | 1 (Exact)      | PRESENT    | LOW
Lasix                | Medication   | furosemide                   | 3 (Semantic)   | PRESENT    | LOW
nitro                | Medication   | NITRODAN                     | 3 (Semantic)   | PRESENT    | LOW
CVVH                 | Procedure    | Continuous venovenous hemo   | 3 (Semantic)   | PRESENT    | LOW
renal failure        | Condition    | Renal failure syndrome       | 2 (Synonym)    | PRESENT    | LOW
pulmonary edema      | Condition    | Pulmonary edema              | 1 (Exact)      | PRESENT    | LOW
Hypotension / Sept   | Condition    | Hypodynamic septic shock     | 3 (Semantic)   | PRESENT    | LOW
levophed             | Medication   | levorphanol                  | 3 (Semantic)   | PRESENT    | LOW
unasyn               | Medication   | sulbactam                    | 3 (Semantic)   | PRESENT    | LOW
vasopressin          | Medication   | vasopressin (USP)            | 3 (Semantic)   | PRESENT    | LOW
antibiotics          | Medication   | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
zosyn                | Medication   | Zodasiran                    | 3 (Semantic)   | PRESENT    | LOW
glucocorticoids      | Medication   | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
adrenal  insuffici   | Condition    | Adrenal cortical hypofunct   | 2 (Synonym)    | POSSIBLE   | LOW
prednisone           | Medication   | prednisone                   | 1 (Exact)      | POSSIBLE   | LOW
PMR                  | Condition    | Unmapped                     | 0 (Failed)     | POSSIBLE   | LOW
renal failure        | Condition    | Renal failure syndrome       | 2 (Synonym)    | PRESENT    | LOW
Cr                   | Lab Test     | Chromium measurement         | 3 (Semantic)   | PRESENT    | LOW
creatinine           | Lab Test     | Creatinine measurement       | 3 (Semantic)   | PRESENT    | LOW
lasix                | Medication   | furosemide                   | 3 (Semantic)   | PRESENT    | LOW
metolazone           | Medication   | metolazone                   | 1 (Exact)      | PRESENT    | LOW
CVVH                 | Procedure    | Continuous venovenous hemo   | 3 (Semantic)   | PRESENT    | LOW
CVVH                 | Procedure    | Continuous venovenous hemo   | 3 (Semantic)   | PRESENT    | LOW
UOP                  | Lab Test     | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
Cr                   | Lab Test     | Chromium measurement         | 3 (Semantic)   | PRESENT    | LOW
pitting edema        | Symptom      | Pitting edema                | 1 (Exact)      | PRESENT    | LOW
JVP                  | Lab Test     | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
basilar crackles     | Symptom      | Post-tussive crackles        | 3 (Semantic)   | PRESENT    | LOW
torsemide            | Medication   | torsemide                    | 1 (Exact)      | PRESENT    | LOW
cholecystitis        | Condition    | Cholecystitis                | 1 (Exact)      | PRESENT    | LOW
CVVH                 | Procedure    | Continuous venovenous hemo   | 3 (Semantic)   | PRESENT    | LOW
metoprolol           | Medication   | metoprolol                   | 1 (Exact)      | PRESENT    | LOW
torsemide            | Medication   | torsemide                    | 1 (Exact)      | PRESENT    | LOW
Atrial fibrillatio   | Condition    | Atrial fibrillation          | 1 (Exact)      | PRESENT    | LOW
Metoprolol           | Medication   | metoprolol                   | 1 (Exact)      | PRESENT    | LOW
heart block          | Condition    | Heart block                  | 1 (Exact)      | PRESENT    | LOW
Warfarin             | Medication   | warfarin                     | 1 (Exact)      | PRESENT    | LOW
hepatic  artery      | Anatomy      | Hepatic artery               | 1 (Exact)      | PRESENT    | LOW
hemorrhage           | Symptom      | Hemorrhage                   | 1 (Exact)      | PRESENT    | LOW
heparin              | Medication   | heparin                      | 1 (Exact)      | PRESENT    | LOW
Warfarin             | Medication   | warfarin                     | 1 (Exact)      | PRESENT    | LOW
warfarin             | Medication   | warfarin                     | 1 (Exact)      | PRESENT    | LOW
INR                  | Lab Test     | Calculation of internation   | 1 (Exact, lab-procedure-sibling) | PRESENT    | LOW
Hepatic Artery       | Anatomy      | Hepatic artery               | 1 (Exact)      | PRESENT    | LOW
Hemorrhage           | Symptom      | Hemorrhage                   | 1 (Exact)      | PRESENT    | LOW
Hepatic Artery       | Anatomy      | Hepatic artery               | 1 (Exact)      | PRESENT    | LOW
Hemorrhage           | Condition    | Hemorrhage                   | 1 (Exact)      | PRESENT    | LOW
H/H                  | Lab Test     | Hemoglobin finding           | 3 (Semantic)   | PRESENT    | LOW
H/H                  | Lab Test     | Measurement of total hemog   | 3 (Semantic)   | PRESENT    | LOW
H/H                  | Lab Test     | Hematocrit determination     | 2 (Synonym)    | PRESENT    | LOW
abdominal tenderne   | Symptom      | Abdominal tenderness         | 1 (Exact)      | PRESENT    | LOW
CT                   | Procedure    | Computed tomography          | 1 (Exact)      | PRESENT    | LOW
A/P                  | Anatomy      | Abdomen                      | 1 (Exact)      | PRESENT    | LOW
A/P                  | Anatomy      | Pelvic region                | 2 (Synonym)    | PRESENT    | LOW
hemorrhage           | Condition    | Hemorrhage                   | 1 (Exact)      | PRESENT    | LOW
hepatic artery       | Anatomy      | Hepatic artery               | 1 (Exact)      | PRESENT    | LOW
PRBCs                | Medication   | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
embolization         | Procedure    | Embolization procedure       | 2 (Synonym)    | PRESENT    | LOW
H/H                  | Lab Test     | Hemoglobin finding           | 3 (Semantic)   | PRESENT    | LOW
H/H                  | Lab Test     | Measurement of total hemog   | 3 (Semantic)   | PRESENT    | LOW
