Loading SapBERT model for vector normalization... (this may take a moment)
132 notes with narrative-state-word cold-start entities
raw text loaded for 132/132 notes
Loading GLiNER-BioMed model... (this may take a moment on the first run)
Fetching 12 files:   0%|          | 0/12 [00:00<?, ?it/s]Fetching 12 files: 100%|██████████| 12/12 [00:00<00:00, 2290.20it/s]
[1/132] 10597114-DS-10: re-fixed 6 entities, cleared 3 stale decision(s)
[72/132] 12304719-DS-18: re-fixed 5 entities, cleared 0 stale decision(s)
[73/132] 12984014-DS-21: re-fixed 10 entities, cleared 0 stale decision(s)
[74/132] 12986424-DS-6: re-fixed 2 entities, cleared 0 stale decision(s)
[75/132] 10124346-DS-4: re-fixed 5 entities, cleared 0 stale decision(s)
[76/132] 11050097-DS-13: re-fixed 5 entities, cleared 0 stale decision(s)
[77/132] 11714071-DS-56: re-fixed 5 entities, cleared 0 stale decision(s)
[78/132] 11891099-DS-13: re-fixed 2 entities, cleared 0 stale decision(s)
[79/132] 12190214-DS-14: re-fixed 6 entities, cleared 0 stale decision(s)
[80/132] 12465457-DS-18: re-fixed 5 entities, cleared 0 stale decision(s)
[81/132] 12574098-DS-24: re-fixed 3 entities, cleared 0 stale decision(s)
[82/132] 10352433-DS-20: re-fixed 8 entities, cleared 0 stale decision(s)
[83/132] 10686970-DS-21: re-fixed 3 entities, cleared 0 stale decision(s)
[84/132] 10965697-DS-12: re-fixed 5 entities, cleared 0 stale decision(s)
[85/132] 11436844-DS-4: re-fixed 2 entities, cleared 0 stale decision(s)
[86/132] 11783215-DS-18: re-fixed 9 entities, cleared 0 stale decision(s)
[87/132] 12985376-DS-217: re-fixed 3 entities, cleared 0 stale decision(s)
[88/132] 10043750-DS-6: re-fixed 3 entities, cleared 0 stale decision(s)
[89/132] 10302979-DS-5: re-fixed 3 entities, cleared 0 stale decision(s)
[90/132] 10667959-DS-19: re-fixed 8 entities, cleared 0 stale decision(s)
[91/132] 10807423-DS-19: re-fixed 2 entities, cleared 0 stale decision(s)
[92/132] 11296936-DS-66: re-fixed 7 entities, cleared 0 stale decision(s)
[93/132] 11515132-DS-10: re-fixed 5 entities, cleared 0 stale decision(s)
[94/132] 12431768-DS-17: re-fixed 7 entities, cleared 0 stale decision(s)
[95/132] 12690671-DS-19: re-fixed 4 entities, cleared 0 stale decision(s)
[96/132] 12819907-DS-20: re-fixed 8 entities, cleared 0 stale decision(s)
[97/132] 12880467-DS-7: re-fixed 6 entities, cleared 0 stale decision(s)
[98/132] 10513485-DS-7: re-fixed 9 entities, cleared 0 stale decision(s)
[99/132] 10860165-DS-24: re-fixed 1 entities, cleared 0 stale decision(s)
[100/132] 10989002-DS-3: re-fixed 5 entities, cleared 0 stale decision(s)
[101/132] 11025563-DS-7: re-fixed 2 entities, cleared 0 stale decision(s)
[102/132] 11167566-DS-4: re-fixed 1 entities, cleared 0 stale decision(s)
[103/132] 11386597-DS-15: re-fixed 10 entities, cleared 0 stale decision(s)
[104/132] 11855597-DS-22: re-fixed 8 entities, cleared 0 stale decision(s)
[105/132] 12206678-DS-17: re-fixed 5 entities, cleared 0 stale decision(s)
[106/132] 12340122-DS-5: re-fixed 7 entities, cleared 0 stale decision(s)
[107/132] 12860208-DS-18: re-fixed 1 entities, cleared 0 stale decision(s)
[108/132] 10794068-DS-18: re-fixed 3 entities, cleared 0 stale decision(s)
[109/132] 11859945-DS-29: re-fixed 5 entities, cleared 0 stale decision(s)
[110/132] 12204158-DS-10: re-fixed 6 entities, cleared 0 stale decision(s)
[111/132] 12286975-DS-22: re-fixed 2 entities, cleared 0 stale decision(s)
[112/132] 12290802-DS-3: re-fixed 4 entities, cleared 0 stale decision(s)
[113/132] 10912090-DS-23: re-fixed 8 entities, cleared 0 stale decision(s)
[114/132] 11250426-DS-3: re-fixed 10 entities, cleared 0 stale decision(s)
[115/132] 12152043-DS-10: re-fixed 4 entities, cleared 0 stale decision(s)
[116/132] 12319089-DS-12: re-fixed 6 entities, cleared 0 stale decision(s)
[117/132] 12626414-DS-28: re-fixed 11 entities, cleared 0 stale decision(s)
[118/132] 11997336-DS-3: re-fixed 2 entities, cleared 0 stale decision(s)
[119/132] 13016981-DS-27: re-fixed 4 entities, cleared 0 stale decision(s)
[120/132] 13093718-DS-4: re-fixed 9 entities, cleared 0 stale decision(s)
[121/132] 10000084-DS-17: re-fixed 4 entities, cleared 0 stale decision(s)
[122/132] 10542874-DS-4: re-fixed 3 entities, cleared 0 stale decision(s)
[123/132] 10653756-DS-22: re-fixed 5 entities, cleared 0 stale decision(s)
[124/132] 10850358-DS-17: re-fixed 9 entities, cleared 0 stale decision(s)
[125/132] 11365932-DS-23: re-fixed 1 entities, cleared 0 stale decision(s)
[126/132] 11417242-DS-18: re-fixed 2 entities, cleared 0 stale decision(s)
[127/132] 11922236-DS-28: re-fixed 7 entities, cleared 0 stale decision(s)
[128/132] 12314513-DS-16: re-fixed 5 entities, cleared 0 stale decision(s)
[129/132] 12407834-DS-17: re-fixed 8 entities, cleared 0 stale decision(s)
[130/132] 12545016-DS-17: re-fixed 2 entities, cleared 0 stale decision(s)
[131/132] 12730675-DS-12: re-fixed 1 entities, cleared 0 stale decision(s)
[132/132] 12884747-DS-9: re-fixed 3 entities, cleared 0 stale decision(s)

TOTAL: re-fixed 617 narrative entities, cleared 49 stale tier-gate decisions
